Motion Sensor Data File Sep 22, 2017 12:48 PM
Time (s)	Distance (cm)	Dist Error (cm)
0.000	21.695	0.239
0.010	21.690	0.239
0.020	21.702	0.239
0.030	21.735	0.239
0.040	21.789	0.239
0.050	21.853	0.239
0.060	21.951	0.239
0.070	22.053	0.239
0.080	22.185	0.239
0.090	22.338	0.239
0.100	22.483	0.239
0.110	22.663	0.239
0.120	22.846	0.239
0.130	23.034	0.239
0.140	23.235	0.239
0.150	23.445	0.239
0.160	23.654	0.239
0.170	23.877	0.239
0.180	24.086	0.239
0.190	24.313	0.239
0.200	24.535	0.239
0.210	24.740	0.239
0.220	24.971	0.239
0.230	25.155	0.239
0.240	25.352	0.239
0.250	25.552	0.239
0.260	25.706	0.239
0.270	25.907	0.239
0.280	26.022	0.239
0.290	26.154	0.239
0.300	26.282	0.239
0.310	26.375	0.239
0.320	26.447	0.239
0.330	26.528	0.239
0.340	26.715	0.239
0.350	26.736	0.239
0.360	26.705	0.239
0.370	26.678	0.239
0.380	26.651	0.239
0.390	26.486	0.239
0.400	26.377	0.239
0.410	26.312	0.239
0.420	26.147	0.239
0.430	26.013	0.239
0.440	25.870	0.239
0.450	25.705	0.239
0.460	25.536	0.239
0.470	25.350	0.239
0.480	25.147	0.239
0.490	24.957	0.239
0.500	24.732	0.239
0.510	24.529	0.239
0.520	24.300	0.239
0.530	24.083	0.239
0.540	23.876	0.239
0.550	23.656	0.239
0.560	23.440	0.239
0.570	23.241	0.239
0.580	23.033	0.239
0.590	22.839	0.239
0.600	22.657	0.239
0.610	22.483	0.239
0.620	22.336	0.239
0.630	22.189	0.239
0.640	22.071	0.239
0.650	21.976	0.239
0.660	21.863	0.239
0.670	21.806	0.239
0.680	21.736	0.239
0.690	21.718	0.239
0.700	21.695	0.239
0.710	21.694	0.239
0.720	21.718	0.239
0.730	21.760	0.239
0.740	21.823	0.239
0.750	21.899	0.239
0.760	22.019	0.239
0.770	22.121	0.239
0.780	22.266	0.239
0.790	22.415	0.239
0.800	22.573	0.239
0.810	22.748	0.239
0.820	22.928	0.239
0.830	23.128	0.239
0.840	23.325	0.239
0.850	23.530	0.239
0.860	23.748	0.239
0.870	23.979	0.239
0.880	24.193	0.239
0.890	24.407	0.239
0.900	24.638	0.239
0.910	24.834	0.239
0.920	25.035	0.239
0.930	25.271	0.239
0.940	25.420	0.239
0.950	25.672	0.239
0.960	25.766	0.239
0.970	25.950	0.239
0.980	26.069	0.239
0.990	26.235	0.239
1.000	26.393	0.239
1.010	26.400	0.239
1.020	26.477	0.239
1.030	26.531	0.239
1.040	26.560	0.239
1.050	26.572	0.239
1.060	26.554	0.239
1.070	26.509	0.239
1.080	26.457	0.239
1.090	26.400	0.239
1.100	26.321	0.239
1.110	26.225	0.239
1.120	26.074	0.239
1.130	25.965	0.239
1.140	25.783	0.239
1.150	25.631	0.239
1.160	25.441	0.239
1.170	25.255	0.239
1.180	25.048	0.239
1.190	24.857	0.239
1.200	24.637	0.239
1.210	24.425	0.239
1.220	24.205	0.239
1.230	23.980	0.239
1.240	23.760	0.239
1.250	23.548	0.239
1.260	23.331	0.239
1.270	23.124	0.239
1.280	22.929	0.239
1.290	22.739	0.239
1.300	22.570	0.239
1.310	22.410	0.239
1.320	22.258	0.239
1.330	22.115	0.239
1.340	21.998	0.239
1.350	21.898	0.239
1.360	21.815	0.239
1.370	21.736	0.239
1.380	21.697	0.239
1.390	21.669	0.239
1.400	21.660	0.239
1.410	21.680	0.239
1.420	21.713	0.239
1.430	21.772	0.239
1.440	21.840	0.239
1.450	21.929	0.239
1.460	22.031	0.239
1.470	22.163	0.239
1.480	22.295	0.239
1.490	22.440	0.239
1.500	22.615	0.239
1.510	22.790	0.239
1.520	22.987	0.239
1.530	23.192	0.239
1.540	23.393	0.239
1.550	23.611	0.239
1.560	23.829	0.239
1.570	24.043	0.239
1.580	24.266	0.239
1.590	24.484	0.239
1.600	24.697	0.239
1.610	24.907	0.239
1.620	25.108	0.239
1.630	25.317	0.239
1.640	25.501	0.239
1.650	25.680	0.239
1.660	25.847	0.239
1.670	26.061	0.239
1.680	26.133	0.239
1.690	26.407	0.239
1.700	26.479	0.239
1.710	26.494	0.239
1.720	26.532	0.239
1.730	26.681	0.239
1.740	26.599	0.239
1.750	26.731	0.239
1.760	26.712	0.239
1.770	26.672	0.239
1.780	26.551	0.239
1.790	26.442	0.239
1.800	26.364	0.239
1.810	26.264	0.239
1.820	26.039	0.239
1.830	25.935	0.239
1.840	25.736	0.239
1.850	25.584	0.239
1.860	25.389	0.239
1.870	25.203	0.239
1.880	25.004	0.239
1.890	24.793	0.239
1.900	24.593	0.239
1.910	24.369	0.239
1.920	24.153	0.239
1.930	23.932	0.239
1.940	23.711	0.239
1.950	23.500	0.239
1.960	23.288	0.239
1.970	23.097	0.239
1.980	22.912	0.239
1.990	22.721	0.239
2.000	22.548	0.239
2.010	22.392	0.239
2.020	22.249	0.239
2.030	22.123	0.239
2.040	22.015	0.239
2.050	21.897	0.239
2.060	21.844	0.239
