#Motion Sensor Data File Sep 25, 2017 5:44 PM
#Time (s)	Distance (cm)	Dist Error (cm)
#0.000	17.771	0.239
0.010	17.426	0.239
0.020	17.106	0.239
0.030	16.495	0.239
0.040	16.317	0.239
0.050	16.093	0.239
0.060	16.263	0.239
0.070	15.858	0.239
0.080	16.193	0.239
0.090	15.920	0.239
0.100	16.237	0.239
0.110	16.103	0.239
0.120	16.579	0.239
0.130	16.788	0.239
0.140	16.740	0.239
0.150	17.298	0.239
0.160	17.701	0.239
0.170	18.125	0.239
0.180	18.593	0.239
0.190	18.991	0.239
0.200	19.506	0.239
0.210	20.098	0.239
0.220	20.884	0.239
0.230	21.377	0.239
0.240	21.952	0.239
0.250	22.540	0.239
0.260	23.137	0.239
0.270	23.746	0.239
0.280	24.338	0.239
0.290	24.939	0.239
0.300	25.509	0.239
0.310	26.046	0.239
0.320	26.573	0.239
0.330	26.998	0.239
0.340	27.551	0.239
0.350	27.984	0.239
0.360	28.400	0.239
0.370	28.769	0.239
0.380	29.090	0.239
0.390	29.372	0.239
0.400	29.608	0.239
0.410	29.796	0.239
0.420	29.932	0.239
0.430	30.039	0.239
0.440	30.081	0.239
0.450	30.071	0.239
0.460	30.009	0.239
0.470	29.901	0.239
0.480	29.745	0.239
0.490	29.537	0.239
0.500	29.287	0.239
0.510	28.989	0.239
0.520	28.653	0.239
0.530	28.286	0.239
0.540	27.880	0.239
0.550	27.402	0.239
0.560	26.945	0.239
0.570	26.433	0.239
0.580	25.907	0.239
0.590	25.338	0.239
0.600	24.722	0.239
0.610	24.209	0.239
0.620	23.606	0.239
0.630	22.960	0.239
0.640	22.177	0.239
0.650	21.887	0.239
0.660	21.297	0.239
0.670	20.471	0.239
0.680	19.954	0.239
0.690	19.441	0.239
0.700	18.958	0.239
0.710	18.467	0.239
0.720	18.083	0.239
0.730	17.699	0.239
0.740	17.341	0.239
0.750	17.022	0.239
0.760	16.509	0.239
0.770	16.616	0.239
0.780	16.395	0.239
0.790	16.338	0.239
0.800	16.281	0.239
0.810	16.288	0.239
0.820	16.326	0.239
0.830	16.364	0.239
0.840	16.539	0.239
0.850	16.477	0.239
0.860	16.957	0.239
0.870	17.283	0.239
0.880	17.592	0.239
0.890	17.926	0.239
0.900	18.355	0.239
0.910	18.826	0.239
0.920	19.298	0.239
0.930	20.032	0.239
0.940	20.289	0.239
0.950	20.851	0.239
0.960	21.697	0.239
0.970	22.285	0.239
0.980	22.830	0.239
0.990	23.422	0.239
1.000	24.031	0.239
1.010	24.610	0.239
1.020	25.142	0.239
1.030	25.678	0.239
1.040	26.240	0.239
1.050	26.506	0.239
1.060	27.219	0.239
1.070	27.643	0.239
1.080	28.089	0.239
1.090	28.475	0.239
1.100	28.835	0.239
1.110	29.135	0.239
1.120	29.396	0.239
1.130	29.605	0.239
1.140	29.767	0.239
1.150	29.882	0.239
1.160	29.946	0.239
1.170	29.962	0.239
1.180	29.930	0.239
1.190	29.848	0.239
1.200	29.713	0.239
1.210	29.548	0.239
1.220	29.324	0.239
1.230	29.056	0.239
1.240	28.750	0.239
1.250	28.396	0.239
1.260	28.012	0.239
1.270	27.590	0.239
1.280	27.137	0.239
1.290	26.654	0.239
1.300	26.150	0.239
1.310	25.612	0.239
1.320	25.094	0.239
1.330	24.517	0.239
1.340	23.983	0.239
1.350	23.367	0.239
1.360	22.756	0.239
1.370	22.247	0.239
1.380	21.661	0.239
1.390	20.778	0.239
1.400	20.576	0.239
1.410	20.084	0.239
1.420	19.387	0.239
1.430	19.084	0.239
1.440	18.469	0.239
1.450	17.745	0.239
1.460	17.679	0.239
1.470	17.012	0.239
1.480	16.696	0.239
1.490	16.833	0.239
1.500	16.312	0.239
1.510	15.898	0.239
1.520	16.051	0.239
1.530	16.386	0.239
1.540	16.333	0.239
1.550	16.229	0.239
1.560	16.614	0.239
1.570	16.544	0.239
1.580	16.659	0.239
1.590	17.157	0.239
1.600	17.457	0.239
1.610	17.830	0.239
1.620	18.181	0.239
1.630	18.614	0.239
1.640	19.086	0.239
1.650	19.786	0.239
1.660	20.008	0.239
1.670	20.536	0.239
1.680	21.347	0.239
1.690	21.918	0.239
1.700	22.445	0.239
1.710	23.011	0.239
1.720	23.582	0.239
1.730	24.209	0.239
1.740	24.719	0.239
1.750	25.273	0.239
1.760	25.856	0.239
1.770	26.362	0.239
1.780	26.869	0.239
1.790	27.332	0.239
1.800	27.752	0.239
1.810	28.142	0.239
1.820	28.498	0.239
1.830	28.815	0.239
1.840	29.084	0.239
1.850	29.320	0.239
1.860	29.507	0.239
1.870	29.653	0.239
1.880	29.759	0.239
1.890	29.809	0.239
1.900	29.808	0.239
1.910	29.764	0.239
1.920	29.668	0.239
1.930	29.530	0.239
1.940	29.344	0.239
1.950	29.114	0.239
1.960	28.843	0.239
1.970	28.536	0.239
1.980	28.183	0.239
1.990	27.799	0.239
2.000	27.355	0.239
2.010	26.932	0.239
2.020	26.428	0.239
2.030	25.932	0.239
2.040	25.376	0.239
2.050	24.829	0.239
2.060	24.299	0.239
2.070	23.684	0.239
2.080	23.145	0.239
2.090	22.589	0.239
2.100	21.887	0.239
2.110	21.237	0.239
2.120	20.909	0.239
2.130	20.138	0.239
2.140	19.647	0.239
2.150	19.151	0.239
2.160	18.755	0.239
2.170	18.371	0.239
2.180	17.888	0.239
2.190	17.535	0.239
2.200	17.254	0.239
2.210	17.038	0.239
2.220	16.551	0.239
2.230	16.683	0.239
2.240	16.570	0.239
2.250	16.199	0.239
2.260	16.177	0.239
2.270	16.218	0.239
2.280	16.286	0.239
2.290	16.672	0.239
2.300	16.555	0.239
2.310	16.807	0.239
2.320	17.335	0.239
2.330	17.436	0.239
2.340	18.029	0.239
2.350	18.436	0.239
2.360	18.796	0.239
2.370	19.573	0.239
2.380	19.761	0.239
2.390	20.181	0.239
2.400	20.773	0.239
2.410	21.318	0.239
2.420	21.854	0.239
2.430	22.670	0.239
2.440	23.288	0.239
2.450	23.816	0.239
2.460	24.361	0.239
2.470	24.979	0.239
2.480	25.502	0.239
2.490	26.008	0.239
2.500	26.506	0.239
2.510	26.977	0.239
2.520	27.428	0.239
2.530	27.835	0.239
2.540	28.212	0.239
2.550	28.568	0.239
2.560	28.868	0.239
2.570	29.129	0.239
2.580	29.347	0.239
2.590	29.522	0.239
2.600	29.650	0.239
2.610	29.734	0.239
2.620	29.772	0.239
2.630	29.762	0.239
2.640	29.705	0.239
2.650	29.601	0.239
2.660	29.458	0.239
2.670	29.259	0.239
2.680	29.013	0.239
2.690	28.724	0.239
2.700	28.396	0.239
2.710	28.025	0.239
2.720	27.620	0.239
2.730	27.180	0.239
2.740	26.723	0.239
2.750	26.232	0.239
2.760	25.667	0.239
2.770	25.206	0.239
2.780	24.637	0.239
2.790	24.077	0.239
2.800	23.547	0.239
2.810	22.914	0.239
2.820	22.376	0.239
2.830	21.880	0.239
2.840	21.299	0.239
2.850	20.760	0.239
2.860	20.024	0.239
2.870	19.515	0.239
2.880	19.101	0.239
2.890	18.735	0.239
2.900	18.003	0.239
2.910	17.847	0.239
2.920	17.553	0.239
2.930	17.010	0.239
2.940	16.781	0.239
2.950	16.561	0.239
2.960	16.689	0.239
2.970	16.601	0.239
2.980	16.244	0.239
2.990	16.518	0.239
3.000	16.598	0.239
3.010	16.468	0.239
3.020	16.828	0.239
3.030	17.012	0.239
3.040	17.264	0.239
3.050	17.250	0.239
3.060	17.847	0.239
3.070	18.146	0.239
3.080	18.541	0.239
3.090	19.021	0.239
3.100	19.458	0.239
3.110	20.218	0.239
3.120	20.604	0.239
3.130	21.260	0.239
3.140	21.789	0.239
3.150	22.123	0.239
3.160	22.891	0.239
3.170	23.466	0.239
3.180	23.989	0.239
3.190	24.594	0.239
3.200	25.109	0.239
3.210	25.611	0.239
3.220	26.177	0.239
3.230	26.658	0.239
3.240	27.099	0.239
3.250	27.545	0.239
3.260	27.948	0.239
3.270	28.300	0.239
3.280	28.629	0.239
3.290	28.917	0.239
3.300	29.156	0.239
3.310	29.370	0.239
3.320	29.528	0.239
3.330	29.656	0.239
3.340	29.719	0.239
3.350	29.735	0.239
3.360	29.699	0.239
3.370	29.621	0.239
3.380	29.473	0.239
3.390	29.314	0.239
3.400	29.093	0.239
3.410	28.816	0.239
3.420	28.519	0.239
3.430	28.182	0.239
3.440	27.816	0.239
3.450	27.363	0.239
3.460	26.971	0.239
3.470	26.501	0.239
3.480	26.005	0.239
3.490	25.493	0.239
3.500	24.975	0.239
3.510	24.351	0.239
3.520	23.868	0.239
3.530	23.252	0.239
3.540	22.697	0.239
3.550	22.214	0.239
3.560	21.607	0.239
3.570	21.107	0.239
3.580	20.452	0.239
3.590	19.827	0.239
3.600	19.457	0.239
3.610	19.180	0.239
3.620	18.457	0.239
3.630	18.150	0.239
3.640	17.835	0.239
3.650	17.555	0.239
3.660	16.934	0.239
3.670	16.989	0.239
3.680	16.231	0.239
3.690	16.149	0.239
3.700	16.380	0.239
3.710	16.297	0.239
3.720	16.592	0.239
3.730	16.122	0.239
3.740	16.543	0.239
3.750	16.632	0.239
3.760	16.553	0.239
3.770	17.128	0.239
3.780	17.759	0.239
3.790	18.067	0.239
3.800	18.384	0.239
3.810	18.839	0.239
3.820	19.586	0.239
3.830	19.774	0.239
3.840	20.233	0.239
3.850	21.018	0.239
3.860	21.589	0.239
3.870	21.949	0.239
3.880	22.627	0.239
3.890	23.180	0.239
3.900	23.747	0.239
3.910	24.330	0.239
3.920	24.815	0.239
3.930	25.390	0.239
3.940	25.883	0.239
3.950	26.377	0.239
3.960	26.823	0.239
3.970	27.273	0.239
3.980	27.448	0.239
3.990	28.066	0.239
4.000	28.422	0.239
4.010	28.730	0.239
4.020	28.995	0.239
4.030	29.222	0.239
4.040	29.401	0.239
4.050	29.534	0.239
4.060	29.618	0.239
4.070	29.656	0.239
4.080	29.646	0.239
4.090	29.589	0.239
4.100	29.463	0.239
4.110	29.342	0.239
4.120	29.139	0.239
4.130	28.905	0.239
4.140	28.620	0.239
4.150	28.301	0.239
4.160	27.956	0.239
4.170	27.563	0.239
4.180	27.124	0.239
4.190	26.663	0.239
4.200	26.232	0.239
4.210	25.710	0.239
4.220	25.236	0.239
4.230	24.667	0.239
4.240	24.099	0.239
4.250	23.590	0.239
4.260	23.000	0.239
4.270	22.281	0.239
4.280	21.983	0.239
4.290	21.169	0.239
4.300	20.880	0.239
4.310	20.385	0.239
4.320	19.683	0.239
4.330	19.221	0.239
4.340	18.786	0.239
4.350	18.424	0.239
4.360	18.066	0.239
4.370	17.734	0.239
4.380	17.449	0.239
4.390	17.177	0.239
4.400	17.003	0.239
4.410	16.908	0.239
4.420	16.739	0.239
4.430	16.467	0.239
4.440	16.681	0.239
4.450	16.718	0.239
4.460	16.575	0.239
4.470	17.004	0.239
4.480	17.188	0.239
4.490	17.406	0.239
4.500	17.654	0.239
4.510	17.975	0.239
4.520	18.279	0.239
4.530	18.717	0.239
4.540	19.107	0.239
4.550	19.583	0.239
4.560	20.029	0.239
4.570	20.518	0.239
4.580	21.282	0.239
4.590	21.534	0.239
4.600	22.316	0.239
4.610	22.882	0.239
4.620	23.431	0.239
4.630	24.011	0.239
4.640	24.547	0.239
4.650	25.036	0.239
4.660	25.594	0.239
4.670	26.052	0.239
