#Motion Sensor Data File Sep 25, 2017 5:44 PM
#Time (s)	Velocity (cm/s)
#0.000	NaN
0.010	-34.529
0.020	-31.949
0.030	-61.146
0.040	-17.759
0.050	-22.446
0.060	17.071
0.070	-40.549
0.080	33.454
0.090	-27.219
0.100	31.691
0.110	-13.416
0.120	47.601
0.130	20.941
0.140	-4.859
0.150	55.771
0.160	40.291
0.170	42.484
0.180	46.741
0.190	39.861
0.200	51.471
0.210	59.211
0.220	78.561
0.230	49.321
0.240	57.491
0.250	58.781
0.260	59.684
0.270	60.931
0.280	59.211
0.290	60.071
0.300	57.061
0.310	53.621
0.320	52.761
0.330	42.441
0.340	55.341
0.350	43.344
0.360	41.581
0.370	36.851
0.380	32.121
0.390	28.251
0.400	23.564
0.410	18.791
0.420	13.631
0.430	10.621
0.440	4.214
0.450	-0.989
0.460	-6.149
0.470	-10.836
0.480	-15.609
0.490	-20.769
0.500	-25.026
0.510	-29.799
0.520	-33.626
0.530	-36.679
0.540	-40.549
0.550	-47.816
0.560	-45.709
0.570	-51.256
0.580	-52.589
0.590	-56.846
0.600	-61.619
0.610	-51.256
0.620	-60.329
0.630	-64.586
0.640	-78.346
0.650	-28.939
0.660	-58.996
0.670	-82.689
0.680	-51.686
0.690	-51.299
0.700	-48.246
0.710	-49.149
0.720	-38.356
0.730	-38.399
0.740	-35.819
0.750	-31.906
0.760	-51.299
0.770	10.664
0.780	-22.059
0.790	-5.719
0.800	-5.676
0.810	0.731
0.820	3.741
0.830	3.784
0.840	17.501
0.850	-6.149
0.860	48.031
0.870	32.551
0.880	30.874
0.890	33.411
0.900	42.871
0.910	47.171
0.920	47.171
0.930	73.401
0.940	25.714
0.950	56.201
0.960	84.581
0.970	58.781
0.980	54.481
0.990	59.211
1.000	60.931
1.010	57.921
1.020	53.191
1.030	53.621
1.040	56.201
1.050	26.574
1.060	71.251
1.070	42.441
1.080	44.591
1.090	38.571
1.100	35.991
1.110	30.014
1.120	26.101
1.130	20.941
1.140	16.211
1.150	11.481
1.160	6.364
1.170	1.591
1.180	-3.139
1.190	-8.256
1.200	-13.459
1.210	-16.469
1.220	-22.446
1.230	-26.789
1.240	-30.616
1.250	-35.389
1.260	-38.356
1.270	-42.269
1.280	-45.279
1.290	-48.246
1.300	-50.439
1.310	-53.836
1.320	-51.729
1.330	-57.706
1.340	-53.449
1.350	-61.576
1.360	-61.146
1.370	-50.869
1.380	-58.566
1.390	-88.279
1.400	-20.296
1.410	-49.149
1.420	-69.746
1.430	-30.229
1.440	-61.576
1.450	-72.369
1.460	-6.579
1.470	-66.736
1.480	-31.519
1.490	13.674
1.500	-52.159
1.510	-41.366
1.520	15.351
1.530	33.411
1.540	-5.289
1.550	-10.406
1.560	38.571
1.570	-7.009
1.580	11.524
1.590	49.751
1.600	29.971
1.610	37.281
1.620	35.131
1.630	43.301
1.640	47.171
1.650	70.004
1.660	22.231
1.670	52.761
1.680	81.141
1.690	57.061
1.700	52.761
1.710	56.631
1.720	57.061
1.730	62.651
1.740	51.041
1.750	55.384
1.760	58.351
1.770	50.611
1.780	50.611
1.790	46.311
1.800	42.011
1.810	39.001
1.820	35.604
1.830	31.691
1.840	26.961
1.850	23.521
1.860	18.791
1.870	14.534
1.880	10.621
1.890	5.031
1.900	-0.086
1.910	-4.429
1.920	-9.589
1.930	-13.846
1.940	-18.619
1.950	-22.919
1.960	-27.176
1.970	-30.659
1.980	-35.346
1.990	-38.399
2.000	-44.376
2.010	-42.269
2.020	-50.439
2.030	-49.536
2.040	-55.599
2.050	-54.696
2.060	-53.019
2.070	-61.576
2.080	-53.836
2.090	-55.599
2.100	-70.176
2.110	-65.059
2.120	-32.766
2.130	-77.099
2.140	-49.106
2.150	-49.579
2.160	-39.646
2.170	-38.399
2.180	-48.246
2.190	-35.389
2.200	-28.079
2.210	-21.586
2.220	-48.719
2.230	13.201
2.240	-11.266
2.250	-37.109
2.260	-2.236
2.270	4.171
2.280	6.751
2.290	38.571
2.300	-11.696
2.310	25.241
2.320	52.761
2.330	10.191
2.340	59.211
2.350	40.764
2.360	35.991
2.370	77.701
2.380	18.791
2.390	42.011
2.400	59.211
2.410	54.481
2.420	53.621
2.430	81.571
2.440	61.834
