#Object Tracking Data File Fri, Nov 17, 2017 1:35 PM
#X (pixels)  	Y (pixels)  
292.28	387.74
280.98	393.73
281.39	396.14
278.90	401.64
272.92	403.74
271.28	401.57
272.00	403.88
263.21	402.12
259.39	398.19
251.96	400.84
250.45	396.52
255.72	394.95
259.11	395.39
258.79	388.21
259.98	395.43
259.53	392.13
260.48	383.50
260.83	389.37
266.94	389.34
265.05	393.20
261.06	401.31
256.93	396.95
255.97	400.58
258.70	404.57
251.79	406.56
251.51	410.76
248.24	412.64
246.60	416.32
253.74	416.67
254.39	421.32
256.44	414.48
256.79	413.12
253.52	401.93
249.00	399.55
248.12	401.16
246.31	399.30
244.21	401.97
238.75	410.60
242.01	418.07
245.40	418.77
249.66	414.12
253.35	411.19
254.54	411.03
253.93	411.47
251.45	417.27
250.45	416.24
247.51	419.83
252.32	415.74
255.42	418.25
256.24	428.38
257.48	431.89
253.49	441.99
246.55	443.53
241.27	441.98
239.67	438.09
236.08	449.63
228.38	444.38
224.06	452.91
220.59	459.78
218.62	460.30
217.57	462.33
214.23	468.91
214.77	468.40
206.65	473.81
197.15	480.80
191.57	474.35
191.24	474.14
184.86	476.33
181.84	476.23
172.26	483.52
173.69	486.17
169.64	498.31
172.13	501.17
171.06	507.39
164.27	509.56
167.92	515.39
153.75	515.22
146.60	518.29
144.88	523.71
140.95	528.37
144.63	523.59
145.04	518.46
142.03	520.21
148.14	520.01
144.57	522.44
138.90	523.82
144.04	528.99
144.50	525.39
142.73	527.92
145.69	529.72
134.96	533.88
130.33	537.51
122.13	542.57
116.96	539.68
112.68	544.06
115.80	542.88
115.72	544.98
118.06	545.63
114.77	546.44
112.77	553.61
102.80	558.42
102.99	563.18
104.19	562.95
104.55	561.24
101.33	561.94
96.09	567.35
80.90	565.22
73.97	574.45
70.15	574.64
62.14	577.74
59.16	579.12
60.94	578.53
50.15	576.77
49.16	583.58
52.87	582.63
52.39	583.95
51.18	587.88
47.28	581.82
43.82	578.92
38.03	574.11
