Motion Sensor Data File Sep 22, 2017 12:51 PM
Time (s)	Velocity (cm/s)
0.000	NaN
0.010	-0.559
0.020	1.204
0.030	3.311
0.040	5.461
0.050	6.321
0.060	9.804
0.070	10.191
0.080	13.201
0.090	15.351
0.100	14.534
0.110	17.931
0.120	18.361
0.130	18.791
0.140	20.081
0.150	20.984
0.160	20.941
0.170	22.231
0.180	20.941
0.190	22.661
0.200	22.231
0.210	20.554
0.220	23.091
0.230	18.361
0.240	19.651
0.250	20.081
0.260	15.394
0.270	20.081
0.280	11.481
0.290	13.201
0.300	12.814
0.310	9.331
0.320	7.181
0.330	8.041
0.340	18.791
0.350	2.064
0.360	-3.139
0.370	-2.709
0.380	-2.666
0.390	-16.469
0.400	-10.879
0.410	-6.579
0.420	-16.426
0.430	-13.459
0.440	-14.319
0.450	-16.426
0.460	-16.899
0.470	-18.619
0.480	-20.296
0.490	-19.049
0.500	-22.489
0.510	-20.296
0.520	-22.919
0.530	-21.629
0.540	-20.726
0.550	-22.059
0.560	-21.586
0.570	-19.909
0.580	-20.769
0.590	-19.436
0.600	-18.189
0.610	-17.329
0.620	-14.706
0.630	-14.749
0.640	-11.739
0.650	-9.589
0.660	-11.266
0.670	-5.719
0.680	-7.009
0.690	-1.806
0.700	-2.279
0.710	-0.129
0.720	2.451
0.730	4.214
0.740	6.321
0.750	7.611
0.760	11.911
0.770	10.234
0.780	14.491
0.790	14.921
0.800	15.781
0.810	17.501
0.820	17.974
0.830	20.081
0.840	19.651
0.850	20.511
0.860	21.801
0.870	23.134
0.880	21.371
0.890	21.371
0.900	23.091
0.910	19.651
0.920	20.124
0.930	23.521
0.940	14.921
0.950	25.241
0.960	9.331
0.970	18.404
0.980	11.911
0.990	16.641
1.000	15.781
1.010	0.731
1.020	7.654
1.030	5.461
1.040	2.881
1.050	1.161
1.060	-1.806
1.070	-4.429
1.080	-5.289
1.090	-5.676
1.100	-7.869
1.110	-9.589
1.120	-15.136
1.130	-10.879
1.140	-18.189
1.150	-15.179
1.160	-19.006
1.170	-18.619
1.180	-20.726
1.190	-19.049
1.200	-22.059
1.210	-21.156
1.220	-22.059
1.230	-22.489
1.240	-22.016
1.250	-21.199
1.260	-21.629
1.270	-20.726
1.280	-19.479
1.290	-19.049
1.300	-16.856
1.310	-16.039
1.320	-15.179
1.330	-14.276
1.340	-11.739
1.350	-10.019
1.360	-8.256
1.370	-7.869
1.380	-3.999
1.390	-2.709
1.400	-0.946
1.410	2.021
1.420	3.311
1.430	5.891
1.440	6.794
1.450	8.901
1.460	10.191
1.470	13.201
1.480	13.244
1.490	14.491
1.500	17.501
1.510	17.501
1.520	19.651
1.530	20.554
1.540	20.081
1.550	21.801
1.560	21.801
1.570	21.371
1.580	22.274
1.590	21.801
1.600	21.371
1.610	20.941
1.620	20.081
1.630	20.941
1.640	18.404
1.650	17.931
1.660	16.641
1.670	21.371
1.680	7.224
1.690	27.391
1.700	7.181
1.710	1.591
1.720	3.741
1.730	14.964
1.740	-8.299
1.750	13.201
1.760	-1.849
1.770	-3.956
1.780	-12.169
1.790	-10.879
1.800	-7.826
1.810	-10.019
1.820	-22.489
1.830	-10.406
1.840	-19.909
1.850	-15.179
1.860	-19.436
1.870	-18.619
1.880	-19.909
1.890	-21.156
1.900	-19.909
1.910	-22.489
1.920	-21.586
1.930	-22.059
1.940	-22.059
1.950	-21.156
1.960	-21.199
1.970	-19.049
1.980	-18.576
1.990	-19.049
2.000	-17.329
2.010	-15.566
2.020	-14.319
2.030	-12.599
2.040	-10.836
2.050	-11.739
2.060	-5.289
2.070	-8.256
2.080	-2.279
2.090	-1.419
2.100	-0.129
2.110	1.204
2.120	4.171
2.130	5.461
2.140	6.321
2.150	11.524
2.160	8.901
2.170	14.491
2.180	14.061
2.190	15.781
2.200	16.254
2.210	19.221
2.220	17.931
2.230	20.511
2.240	20.511
2.250	21.414
2.260	22.231
2.270	20.941
2.280	21.371
2.290	22.661
2.300	20.554
2.310	22.661
2.320	21.371
2.330	16.211
2.340	36.421
2.350	-0.516
2.360	32.551
2.370	13.201
2.380	12.771
2.390	11.051
2.400	9.804
2.410	0.731
2.420	11.481
2.430	4.171
2.440	1.634
2.450	-0.559
2.460	-2.279
2.470	-4.816
2.480	-6.579
2.490	-7.439
